01020090,鸡腿排三明治1,12.9,0103,,,,,
01020096,虾排三明治1,13.9,0103,,,,,
01030002,午餐 西红柿炒鸡蛋,7,0104,,,,,
01030076,午餐 红烧鸡丸,7,0104,,,,,
01030078,午餐 肉末烧茄子,6,0104,,,,,
01030082,午餐 木须肉,8,0104,,,,,
01030087,午餐 老厨白菜,7.5,0104,,,,,
01030089,午餐 冬笋烧肉,12,0104,,,,,
01030094,老厨白菜(10份装）,7.5,0104,,,,,
01030096,麻辣香锅(10份装）,9.5,0104,,,,,
01030102,西红柿炒鸡蛋(10份装）,7,0104,,,,,
01030104,宫保鸡丁(10份装）,8,0104,,,,,
01030106,冬笋烧肉(10份装）,12,0104,,,,,
01030108,芽菜鸡柳(10份装）,8.5,0104,,,,,
01030129,素烧鱼豆腐(10份装）,7,0104,,,,,
01030135,牛气冲天-红烧牛肉（10份装）,12,0104,,,,,
01030166,香辣鱼豆腐(10份装）,7,0104,,,,,
01030184,焦熘丸子（10份装）,8,0104,,,,,
01030186,年年有余-糖醋鱼块（10份装）,10,0104,,,,,
01030188,瑞气盈门-酸菜白肉（10份装）,9,0104,,,,,
01030193,糖醋鸡柳(10份装）,9,0104,,,,,
01030195,川香鱼块(10份装）,10,0104,,,,,
01030215,煲仔鸡块（10人份）,9,0104,,,,,
01030217,新芽菜鸡柳（10人份）,8.5,0104,,,,,
01030251,豉油圆白菜豆腐（10人份）,6,0104,,,,,
01030255,荷塘小炒(10人份）,6,0104,,,,,
01030259,木须肉（10人份）,8,0104,,,,,
01030283,酸菜鲽鱼块（10人份）,10,0104,,,,,
01030285,酱香牛肉（10人份）,12,0104,,,,,
01030299,香干西葫芦（10人份）,5,0104,,,,,
01030316,干锅圆白菜（10人份）,6,0104,,,,,
01030330,田园虾仁（10人份）,12,0104,,,,,
01030332,尖椒豆皮（10人份）,6,0104,,,,,
01030334,贵州酸汤鱼（10人份）,12,0104,,,,,
01030338,醋溜白菜（10人份）,5,0104,,,,,
01030340,地三鲜（10人份）,6,0104,,,,,
01030342,麻婆豆腐（10人份）,6,0104,,,,,
01030344,水煮肉片（10人份）,10,0104,,,,,
01030346,红烧丸子（10人份）,10,0104,,,,,
01030803,黑椒肉片（10人份）,9,0104,,,,,
01030805,海带烧豆腐（10人份）,6,0104,,,,,
01030807,酸辣藕片（10人份）,6,0104,,,,,
01030201,新白米饭,2,0104,,,,,
03030011,扁豆焖面1,9.9,0105,,,,,
03030013,意大利肉酱面1,12.5,0105,,,,,
03030023,韩式炒年糕1,13.8,0105,,,,,
03030027,鸡蛋西红柿打卤面1,10.8,0105,,,,,
03030031,担担面1,13.5,0105,,,,,
03030044,牛筋面1,9.5,0105,,,,,
03030046,陕西凉皮1,9,0105,,,,,
03030050,红油凉面1,9.5,0105,,,,,
03030053,鸡蛋炒饼1,8.8,0105,,,,,
03030055,鸡蛋炒米粉1,9.5,0105,,,,,
03030059,香菇肉臊面1,10.8,0105,,,,,
03030061,新疆拌面1,13.8,0105,,,,,
03030069,岐山臊子面1,13.6,0105,,,,,
03050021,方便米饭（咖喱蛋包饭）1,13.8,0105,,,,,
03050045,方便米饭（酱爆鸭柳）1,12.8,0105,,,,,
03050049,老干妈炒饭1,8.8,0105,,,,,
03050051,山药素双拼1,13.8,0105,,,,,
03050057,方便米饭（小鸡炖蘑菇双拼）1,13.8,0105,,,,,
03050059,方便米饭（辣白菜五花肉拌饭）1,13.8,0105,,,,,
03050063,方便米饭（新锅仔小炒肉）1,12.8,0105,,,,,
03050065,方便米饭（茄香鸡球）1,13.8,0105,,,,,
03050067,方便米饭（红烧肉）1,15.8,0105,,,,,
03050076,方便米饭（鸡排咖喱）1,18.8,0105,,,,,
03050084,方便米饭（红烧丸子）1,14.8,0105,,,,,
03050086,方便米饭（咖喱炒饭）1,7.9,0105,,,,,
03050107,方便米饭（锅仔小炒肉）1,12.8,0105,,,,,
03050120,方便米饭（金枪鱼什锦鸡蛋）1,9.5,0105,,,,,
03050126,方便米饭（卤肉饭）1,15,0105,,,,,
03030002,扁豆焖面,9.9,0105,,,,,
03030005,鸡蛋西红柿打卤面,10.5,0105,,,,,
03030009,川味鸡丝凉面1,9.9,0105,,,,,
03030017,陕西凉皮1,8.8,0105,,,,,
03030021,牛筋面1,8.5,0105,,,,,
03030025,干炒牛河1,13.5,0105,,,,,
03030029,老北京茄丁面1,10.8,0105,,,,,
03030039,芝香芽菜拌面1,10.8,0105,,,,,
03030072,饸烙面1,13.8,0105,,,,,
03050023,方便米饭（红烧肉）1,13.5,0105,,,,,
03050056,方便米饭（麻辣香锅）2,14.8,0105,,,,,
03050059,方便米饭（辣白菜五花肉拌饭）1,13.8,0105,,,,,
03050061,方便米饭（肉末豆角双拼）1,13.8,0105,,,,,
07050010,家佳康早餐火腿切片,5.5,0106,,,,,
07050012,家佳康台湾香肠,6.8,0106,,,,,
07050013,家佳康美式脆皮热狗肠75g,5.5,0106,,,,,
07050064,口水鸡（冷藏菜肴）1,11.5,0106,,,,,
07050070,夫妻肺片（冷藏菜肴）1,14.8,0106,,,,,
07050082,圃美多调味溏心蛋55g（单枚装）,3.5,0106,,,,,
07050085,圃美多吸吸溏心蛋65g（单枚装）,4.8,0106,,,,,
07070013,韩式泡菜80g,3,0106,,,,,
07070014,牛板筋100g,9.5,0106,,,,,
07070015,桔梗100g,4.8,0106,,,,,
07070016,萝卜干100g,4,0106,,,,,
07070020,宗家府萝卜条小菜40g,3.5,0106,,,,,
07070035,宗家府切件泡菜80g,3.2,0106,,,,,
07070036,宗家府黄瓜泡菜40g,3.8,0106,,,,,
07050009,圃美多吸吸溏心蛋,7.5,0106,,,,,
07050071,夫妻肺片（冷藏菜肴）2,14.8,0106,,,,,
07070007,圃美多爽口脆萝卜泡菜200g,7.8,0106,,,,,
51020101,双汇鱼肠40g,1.8,0106,,,,,
